NUM;ID;YEAR;MONTH;DAY;HOUR;MINUTE;SECOND;DATE;DAT
E_HOUR;EVENT_VALIDITY;CAUSE_CODE;FOCAL_DEPTH;PRIMARY_MAGNITUDE;COUNTRY;STATE;LOCATION_NAME;LATITUDE;LONGITUDE;REGION_CODE;MAXIMUM_WATER_HEIGHT;ABE;IIDA;SOLOVIEV;WARNING_STATUS;DEATHS;DEATHS_DESCRIPTION;MISSING;MISSING_DESCRIPTION;INJURIES;INJURIES_DESCRIPTION;DAMAGE_MILLIONS_DOLLARS;DAMAGE_DESCRIPTION;HOUSES_DESTROYED;HOUSES_DESTROYED_DESCRIPTION;HOUSES_DAMAGED;HOUSES_DAMAGED_DESCRIPTION;TOTAL_DEATHS;TOTAL_DEATHS_DESCRIPTION;TOTAL_MISSING;TOTAL_MISSING_DESCRIPTION;TOTAL_INJURIES;TOTAL_INJURIES_DESCRIPTION;TOTAL_DAMAGE_MILLIONS_DOLLARS;TOTAL_DAMAGE_DESCRIPTION;TOTAL_HOUSES_DESTROYED;TOTAL_HOUSES_DESTROYED_DESCRIPTION;TOTAL_HOUSES_DAMAGED;TOTAL_HOUSES_DAMAGED_DESCRIPTION
2317;T55;478;9;25;;;;478/9/25;;3;1;;;TURKEY;;MARMARA SEA;40,8;29,2;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;T56;543;;;;;;;;3;1;;6,8;TURKEY;;BLACK SEA;40,3;27,8;50;;;;4;;;3;;;;;;3;;;;;;3;;;;;;3;;;;
46;T57;551;4;;;;;;;4;3;;7,1;GREECE;;ETOLIA;38,4;22,3;50;;;;4;;;;;;;;;;;;;;4000;4;;;;;;;;;;
5586;T58;551;7;7;;;;551/7/7;;1;;;;GREECE;;;38,4;22,3;50;;;;;;;;;;;;;;;;;;5000;4;;;;;;4;;4;;
47;T59;551;7;9;;;;551/7/9;;4;1;;7,8;TURKEY;;LEVANTIAN SEA;40,8;29,9;50;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;
3477;T60;552;5;;;;;;;3;1;;7,2;GREECE;;MALIAKOS GULF;38,4;22,4;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;T61;554;8;15;;;;554/8/15;;3;1;;7;GREECE;;ISLAND OF KOS;36,5;27,5;50;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;
3785;T62;555;8;15;;;;555/8/15;;2;1;;;GREECE;;THRACE;41;29,5;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2286;T63;557;;;;;;;;3;1;;7;TURKEY;;MARMARA SEA;40,9;27,6;50;;;1;3;;;;;;;;;;;;;;;;;;;;;;;;;
49;T64;558;12;14;;;;558/12/14;;2;1;;7;TURKEY;;MARMARA SEA, STRAIT OF BOSPORUS;40,9;28,8;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3765;T65;558;;;;;;;;4;1;;7;GREECE;;DODECANESE ISLANDS;37,1;27,7;50;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;
53;T66;684;11;29;;;;684/11/29;;4;1;;8,4;JAPAN;;NANKAIDO;32,5;134;85;3;;1,6;1;;;3;;;;;;3;;;;;;3;;;;;;3;;;;
54;T67;701;5;12;;;;701/5/12;;4;1;;7;JAPAN;;SEA OF JAPAN;35,7;135,4;85;;;2;1;;;;;;;;;3;;;;;;;;;;;;3;;;;
55;T68;704;8;2;;;;704/8/2;;4;1;;7;JAPAN;;KUMANONADA;33,8;136,7;85;;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;
56;T69;740;10;26;;;;740/10/26;;2;1;;7,3;TURKEY;;MARMARA SEA;40,7;29,3;50;;;;3;;;;;;;;;;;;;;;3;;;;;;3;;3;;
57;T70;744;6;30;;;;744/6/30;;4;1;;6,4;JAPAN;;SW. KYUSHU ISLAND;32,4;130,5;85;;;2;2;;1520;4;;;;;;2;470;2;;;1520;4;;;;;;3;470;3;;
58;T71;745;6;9;;;;745/6/9;;3;1;;6,5;JAPAN;;OSAKA BAY, JAPAN;34,6;135,3;85;;;1;1;;;3;;;;;;;;;;;;3;;;;;;;;;;
