,ID,DATE,COUNTRY,DAYS,GROUP
175,V601,1999-01-20,MONTSERRAT,0,82
176,T2352,1999-01-20,MONTSERRAT,0.0,82
177,V604,2000-06-27,JAPAN,0,83
178,T2360,2000-07-01,JAPAN,4.0,83
179,V611,2002-12-30,ITALY,0,84
180,T2377,2002-12-30,ITALY,0.0,84
181,V612,2003-07-12,MONTSERRAT,0,85
182,T2382,2003-07-12,MONTSERRAT,0.0,85
183,V618,2006-05-20,MONTSERRAT,0,86
184,T2409,2006-05-20,MONTSERRAT,0.0,86
185,V639,2010-10-26,INDONESIA,0,87
186,T2470,2010-10-25,INDONESIA,1.0,87
