ID;DATE;COUNTRY
T817;1851/5/23;GREECE
T818;1851/5/26;CHILE
T819;1851/7/28;ITALY
T820;1851/10/12;ALBANIA
T821;1851/11/13;United States
T822;1851/12/16;ITALY
T823;1852/1/9;INDONESIA
T824;1852/2/2;ITALY
T825;1852/5/12;TURKEY
T826;1852/6/26;ITALY
T827;1852/7/17;CUBA
T828;1852/9/8;TURKEY
T829;1852/9/16;PHILIPPINES
T830;1852/11/10;ITALY
T831;1852/11/10;INDONESIA
T832;1852/11/11;INDONESIA
T833;1852/11/16;INDONESIA
T834;1852/11/19;INDONESIA
T835;1852/11/23;INDONESIA
T836;1852/11/25;United States
T837;1852/11/25;INDONESIA
T838;1852/11/27;PERU
T839;1852/11/29;MEXICO
T840;1852/12/4;MEXICO
T841;1852/12/24;INDONESIA
T842;1853/4/8;ITALY
T843;1853/7/15;VENEZUELA
T844;1853/8/18;GREECE
T845;1853/10/3;JAPAN
T846;1853/10/29;TAIWAN
T848;1853/12/11;Montenegro
T849;1853/12/24;TONGA
T851;1854/1/4;INDONESIA
T852;1854/1/15;NORTHWEST PACIFIC OCEAN
T853;1854/1/27;United States
T854;1854/2/29;FRANCE
T855;1854/5/31;United States
T856;1854/6/27;RUSSIA
T857;1854/7/9;RUSSIA
T858;1854/7/24;United States
T859;1854/8/4;COSTA RICA
T860;1854/8/7;COSTA RICA
T861;1854/8/18;United States
T862;1854/9/27;INDONESIA
T863;1854/10/4;United States
T864;1854/10/22;United States
T865;1854/11/1;United States
T866;1854/11/10;United States
T867;1854/12/1;United States
T868;1854/12/4;MEXICO
T869;1854/12/23;JAPAN
T870;1854/12/24;JAPAN
T871;1854/12/29;FRANCE
T872;1855/1/23;NEW ZEALAND
T873;1855/2/3;NEW ZEALAND
T874;1855/2/11;NEW ZEALAND
T875;1855/2/13;TURKEY
T876;1855/2/17;PORTUGAL
T877;1855/3/20;United States
T878;1855/4/14;INDONESIA
T879;1855/5/18;FRANCE
T880;1855/7/11;United States
T881;1855/8/11;CHILE
T882;1855/9/25;HONDURAS
T883;1855/10/22;United States
T884;1855/11/7;JAPAN
T885;1855/11/11;JAPAN
T886;1855/12/3;JAPAN
T888;1856/1/6;PORTUGAL
T889;1856/2/15;United States
T890;1856/3/2;INDONESIA
T892;1856/7/25;INDONESIA
T893;1856/7/26;United States
T894;1856/8/4;HONDURAS
T895;1856/8/21;ALGERIA
T896;1856/8/22;ALGERIA
T897;1856/8/23;JAPAN
T899;1856/10/12;GREECE
T900;1856/11/13;GREECE
T901;1857/1/6;SUDAN
T902;1857/4/17;PAPUA NEW GUINEA
T903;1857/5/13;INDONESIA
T904;1857/5/23;ALGERIA
T905;1857/7/13;JAPAN
T906;1857/9/17;TURKEY
T907;1857/11/17;INDONESIA
T908;1857/11/18;INDONESIA
T909;1858/1/31;AUSTRALIA
T910;1858/2/21;GREECE
T911;1858/4/24;CHILE
T912;1858/6/5;United Kingdom
T913;1858/8/6;NEW ZEALAND
T914;1858/9/15;NEW ZEALAND
T916;1858/12/13;INDONESIA
T917;1859/6/28;INDONESIA
T918;1859/7/20;INDONESIA
T919;1859/7/29;INDONESIA
T920;1859/8/21;TURKEY
T921;1859/8/25;EL SALVADOR
T922;1859/9/24;United States
T923;1859/9/25;INDONESIA
T924;1859/10/5;CHILE
T925;1859/10/11;CHILE
T926;1859/10/20;GREECE
T927;1859/10/20;INDONESIA
T928;1859/10/26;INDONESIA
T929;1859/11/22;AUSTRALIA
T930;1859/12/9;EL SALVADOR
T931;1859/12/17;INDONESIA
T932;1859/12/25;INDONESIA
T933;1860/1/6;SPAIN
T934;1860/3/17;MEXICO
T935;1860/4/8;HAITI
T936;1860/4/23;PERU
T938;1860/10/6;INDONESIA
T939;1860/12/1;United States
T940;1861/2/16;INDONESIA
T941;1861/2/21;INDONESIA
T942;1861/3/9;INDONESIA
T943;1861/3/20;CHILE
T945;1861/4/26;INDONESIA
T946;1861/5/4;United States
T947;1861/5/5;United States
T948;1861/6/5;INDONESIA
T949;1861/6/17;INDONESIA
T950;1861/9/25;INDONESIA
T951;1861/10/20;JAPAN
