ID;DATE;COUNTRY
V543;1981/4/27;RUSSIA
V544;1981/6/30;PHILIPPINES
V545;1981/9/5;INDONESIA
V546;1982/3/28;MEXICO
V547;1982/4/4;MEXICO
V548;1982/5/17;INDONESIA
V549;1982/5/27;MEXICO
V550;1983/3/8;RUSSIA
V551;1983/7/23;INDONESIA
V552;1983/8/17;INDONESIA
V553;1983/10/3;JAPAN
V554;1984/8/15;EQUATORIAL GUINEA
V555;1984/9/9;PHILIPPINES
V556;1985/11/13;COLOMBIA
V557;1986/7/24;ITALY
V558;1986/8/21;CAMEROON
V559;1986/10/15;INDONESIA
V560;1986/11/15;JAPAN
V561;1987/1/25;GUATEMALA
V562;1987/4/17;ITALY
V563;1987/12/1;INDONESIA
V564;1988/5/9;PACIFIC OCEAN
V565;1988/7/6;COSTA RICA
V566;1988/12/25;CHILE
V567;1990/2/2;RUSSIA
V568;1990/2/10;INDONESIA
V569;1990/5/29;PERU
V570;1990/7/19;GUATEMALA
V571;1990/11/17;JAPAN
V572;1991/6/15;PHILIPPINES
V573;1991/7/3;COMOROS
V574;1991/8/8;CHILE
V575;1991/10/24;INDONESIA
V576;1991/12/14;ITALY
V577;1992/4/13;NICARAGUA
V578;1992/5/11;INDONESIA
V579;1992/7/12;PHILIPPINES
V580;1992/9/17;UNITED STATES
V581;1993/1/14;COLOMBIA
V582;1993/2/2;PHILIPPINES
V583;1993/4/19;UNITED STATES
V584;1993/6/13;INDONESIA
V585;1993/6/23;JAPAN
V587;1994/7/16;INDONESIA
V588;1994/9/19;PAPUA NEW GUINEA
V589;1994/11/22;INDONESIA
V590;1995/4/2;CAPE VERDE
V591;1996/1/2;RUSSIA
V592;1996/4/30;MEXICO
V593;1996/5/5;INDONESIA
V594;1996/9/30;ICELAND
V595;1996/12/3;PAPUA NEW GUINEA
V596;1997/4/17;INDONESIA
V597;1997/6/25;MONTSERRAT
V598;1997/8/1;MONTSERRAT
V599;1997/12/26;MONTSERRAT
V600;1998/4/28;UNITED STATES
V601;1999/1/20;MONTSERRAT
V602;1999/5/21;GUATEMALA
V603;1999/8/15;RUSSIA
V604;2000/6/27;JAPAN
V605;2000/11/3;UNITED STATES
V606;2001/5/14;ITALY
V607;2001/7/26;ITALY
V608;2002/1/3;INDONESIA
V609;2002/1/17;CONGO
V610;2002/8/28;ITALY
V611;2002/12/30;ITALY
V612;2003/7/12;MONTSERRAT
V613;2004/6/8;INDONESIA
V614;2004/10/24;PAPUA NEW GUINEA
V615;2005/1/27;PAPUA NEW GUINEA
V616;2005/11/24;COMOROS
V617;2006/3/17;NEW ZEALAND
V618;2006/5/20;MONTSERRAT
V619;2006/6/7;PHILIPPINES
V620;2006/6/14;INDONESIA
V621;2006/7/13;PHILIPPINES
V622;2006/7/18;ECUADOR
V623;2006/8/17;ECUADOR
V625;2007/4/18;COLOMBIA
V626;2007/9/30;YEMEN
V627;2008/5/2;CHILE
V628;2008/8/8;UNITED STATES
V629;2008/8/22;ECUADOR
V630;2008/11/20;COLOMBIA
V631;2009/3/23;UNITED STATES
V632;2009/11/30;UNITED STATES
V634;2010/3/31;ICELAND
V635;2010/5/27;GUATEMALA
V636;2010/5/29;UNITED STATES
V637;2010/8/6;INDONESIA
V638;2010/8/30;INDONESIA
V639;2010/10/26;INDONESIA
V641;2010/12/28;INDONESIA
V642;2011/1/3;INDONESIA
V643;2011/1/28;JAPAN
V644;2011/2/23;PHILIPPINES
V645;2011/3/18;INDONESIA
V647;2011/6/4;CHILE
V648;2011/6/22;ERITREA
V649;2011/7/9;ICELAND
V650;2011/7/17;INDONESIA
V651;2011/12/27;INDONESIA
V652;2012/2/10;UNITED STATES
V653;2012/3/2;UNITED STATES
V654;2012/12/12;RUSSIA
V655;2013/2/12;INDONESIA
V657;2013/5/7;PHILIPPINES
V658;2013/8/10;INDONESIA
V659;2013/9/1;PERU
V660;2013/9/4;JAPAN
V661;2013/9/15;INDONESIA
V662;2014/2/1;INDONESIA
V663;2014/2/13;INDONESIA
V664;2014/9/27;JAPAN
V665;2014/11/10;UNITED STATES
V666;2014/11/23;CAPE VERDE
V667;2014/12/18;INDONESIA
V668;2015/2/20;INDONESIA
V669;2015/4/22;CHILE
V670;2015/5/7;INDONESIA
V671;2015/7/31;PAPUA NEW GUINEA
V672;2015/10/16;INDONESIA
